Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Vehicles,Vehicles Per Day,Avg Hours Per Day Per Vehicle,Avg Minutes Per Trip
2024-01,FHV - High Volume,634317,-,83778,57143,6.4,18
2024-01,Green,1824,37028,797,424,3.5,13.9
2024-01,Yellow,94742,2219038,8795,7222,7.7,14.6
2023-12,FHV - High Volume,661812,-,82374,58687,6.5,20
2023-12,Green,2071,45896,825,469,3.5,15.8
2023-12,Yellow,108202,2710488,8841,7551,8.2,17
2023-11,FHV - High Volume,642305,-,80866,58734,6.4,20
2023-11,Green,2133,46814,837,486,3.5,15.7
2023-11,Yellow,110643,2777387,8751,7622,8.4,17
2023-10,FHV - High Volume,651167,-,80343,58053,6.5,20
2023-10,Green,2135,48179,861,491,3.5,16
2023-10,Yellow,112959,2889001,8662,7548,8.5,17.2
2023-09,FHV - High Volume,661698,-,79448,56923,6.6,21
2023-09,Green,2181,52570,855,485,3.6,16.4
2023-09,Yellow,94351,2473575,8495,6689,8,17.8
2023-08,FHV - High Volume,591032,-,77520,54179,6.4,19
2023-08,Green,1957,44903,853,471,3.4,15.2
2023-08,Yellow,90485,2282461,8341,6933,7.8,15.9
2023-07,FHV - High Volume,617161,-,77346,53969,6.4,19
2023-07,Green,1978,43964,850,464,3.4,14.9
2023-07,Yellow,93315,2347673,8306,6811,7.9,18.3
2023-06,FHV - High Volume,645549,-,77565,55701,6.5,20
2023-06,Green,2184,48844,855,479,3.6,15.5
2023-06,Yellow,109766,2802472,8384,7171,8.4,16.6
2023-05,FHV - High Volume,640244,-,77106,55261,6.5,20
2023-05,Green,2231,48349,879,475,3.7,15.3
2023-05,Yellow,112843,2867319,8317,7186,8.6,16.8
2023-04,FHV - High Volume,638161,-,76511,54269,6.5,19
2023-04,Green,2179,45836,884,481,3.5,14.6
2023-04,Yellow,109071,2704765,8172,6916,8.4,15.9
2023-03,FHV - High Volume,658499,-,75941,55118,6.6,19
2023-03,Green,2323,47270,884,498,3.6,14.5
2023-03,Yellow,109230,2658778,8119,6970,8.5,15.5
2023-02,FHV - High Volume,641461,-,74404,53180,6.6,18
2023-02,Green,2313,46203,891,504,3.6,14.1
2023-02,Yellow,103632,2440127,7886,6679,8.4,14.7
2023-01,FHV - High Volume,596095,-,74553,50996,6.4,18
2023-01,Green,2199,43733,911,488,3.5,13.8
2023-01,Yellow,98569,2335375,7737,6354,8.2,14.4
2022-12,FHV - High Volume,634379,-,74877,52087,6.6,19
2022-12,Green,2336,45204,942,496,3.6,15.9
2022-12,Yellow,109287,2358881,7791,6529,8.7,16.9
2022-11,FHV - High Volume,602819,-,74237,51703,6.5,19
2022-11,Green,2076,35983,910,458,3.5,16.2
2022-11,Yellow,108146,2088889,7685,6100,9.1,16.5
2022-10,FHV - High Volume,622770,-,73747,51532,6.6,20
2022-10,Green,2236,39956,929,485,3.5,16.5
2022-10,Yellow,118197,2301955,7585,6442,9.2,16.7
2022-09,FHV - High Volume,593114,-,72616,49980,6.6,20
2022-09,Green,2300,43805,928,491,3.6,17.2
2022-09,Yellow,105917,2109566,7380,6005,8.9,17.2
2022-08,FHV - High Volume,554361,-,70497,46996,6.5,19
2022-08,Green,2126,38913,924,475,3.5,15.8
2022-08,Yellow,101327,1918362,7169,5823,8.8,15.4
2022-07,FHV - High Volume,563353,-,71043,46799,6.5,19
2022-07,Green,2070,37363,940,467,3.4,15.7
2022-07,Yellow,102052,1921785,7156,5702,8.9,15.1
2022-06,FHV - High Volume,592656,-,71552,49341,6.6,20
2022-06,Green,2456,44690,1004,527,3.6,16.8
2022-06,Yellow,118213,2295511,7246,6136,9.4,16.3
2022-05,FHV - High Volume,585714,-,71059,47877,6.6,20
2022-05,Green,2482,44927,1027,531,3.6,16.7
2022-05,Yellow,115896,2244884,7150,5961,9.3,16.4
2022-04,FHV - High Volume,591746,-,70281,48410,6.5,19
2022-04,Green,2537,43601,1027,546,3.5,15.9
2022-04,Yellow,119627,2219111,7053,5975,9.4,15.4
2022-03,FHV - High Volume,595270,-,69702,48364,6.7,18
2022-03,Green,2532,42458,1104,553,3.5,15.4
2022-03,Yellow,116628,2097319,6984,5907,9.4,14.8
2022-02,FHV - High Volume,572114,-,67536,46279,6.6,18
2022-02,Green,2478,40483,1085,565,3.4,15.1
2022-02,Yellow,106036,1805858,6734,5591,9.1,14
2022-01,FHV - High Volume,475854,-,66855,41326,6.3,17
2022-01,Green,2016,32513,1136,523,3.1,14.3
2022-01,Yellow,79212,1330576,6653,4989,8.2,12.7
2021-12,FHV - High Volume,517884,-,68257,44289,6.4,18
2021-12,Green,3223,70839,1232,705,3.6,19.5
2021-12,Yellow,103586,1903868,6908,5657,9,15.2
2021-11,FHV - High Volume,534718,-,67433,44979,6.5,19
2021-11,Green,3607,82075,1269,741,3.9,20.6
2021-11,Yellow,115660,2103000,6810,5763,9.5,15.3
2021-10,FHV - High Volume,533649,-,66935,44408,6.6,19
2021-10,Green,3574,82092,1251,736,3.9,21
2021-10,Yellow,111643,1993304,6600,5555,9.5,15.1
2021-09,FHV - High Volume,496112,-,64572,40404,6.6,19
2021-09,Green,3190,77260,1173,640,4,21.5
2021-09,Yellow,98723,1826376,6218,5069,9,15.2
2021-08,FHV - High Volume,467654,-,58754,35257,6.7,18
2021-08,Green,2693,63669,926,509,4.1,20
